question,document_identifier
"Hello, I try to install three GPU Nvidia Tesla M60 in a Dell R740. I use GPU install kit, that come with a cable that have one connector with 6 pins, and the other connector have 6 pins + 2 pins. The Tesla M60 have a power connector with 8 pins. So...I connect 6+2 pins in Tesla GPU Power connector, and the other connector side in the mother board power supply. When i have the three GPU connected, the server don't power up. The PSUs are alerted (orange blinked). When disconnected the GPUs, the server power up.  The questions is: Its necesary and extra power cable to connect the GPUs to the power? I find in the Tesla manual, that is not compatible connect directly an PCIe cable power to GPU.Tesla M60 Cable Attachment Support Notes:CPU-8-pin auxiliary power cable attached: Supported; required. CPU 8-pin cable must be attached. CPU 8-pin cable must carry up to 240 W.PCIe 8-pin cable: Not supported. PCIe 8-pin cable is not compatible with CPU 8-pin board connector. Plugging in forcibly can cause permanent damage to the board and the system.In Dell manuals and docs, i not find any issue with cable power that come in install kit. Any sugestions?Thanks in advanced! ",doc_330
"Hello, I was wondering if i could possibly install/add iDrac8 onto a R720 rack server.. Sorry if its a stupid question, though if not, where would I be able to get an enterprise key to access all the features?",doc_331
"Hello, I would like to ask if it is possible to add 16gb 1866MT/s memory to an R820.On Dell site it clearly states that the server accepts up to 1866MT/s yet on every single paper that i have read it states up to 1600MT/s.The target is at 512GB. And i was thinking of buying 16GB 2r4 PC3-14900R dimms. would it work or do they have to be low voltage. Maybe 32GB sticks?Well the server has 4X E5 4650 v2 cpu and a newer motherboard. So the question that remains is can you load 32 rdimm 1.5v or do they need to be 1.35v?",doc_332
"Hello, I would like to know if the E5-2696 V2 is supported on the R720?I was about to buy a pair of these cpu's and it was listed that they aren't supported by the 12 gen poweredge servers, I'm running E5-2667 V2 right now and it seems a bit odd they wouldn't support the E5-2696 V2.Thanks",doc_333
"Hello, I'm aware that this server isn't supported anymore, but are there still any catalogs for this model to update? If so, how do I connect to it? I've tried connecting through ftp.dell.com and that just says Network Error. I've also tried downloads.dell.com and that one says 'Downloading Catalog' and then says Network Error.Maybe I've just got it configured wrong but when I click Test Network Connection it says everything passes.I don't know much about this stuff, so I could be going about this the wrong way.Any help is appreciated.",doc_334
"Hello, I'm trying to upgrade the Ram in a Poweredge R710 server.It currently has 6 x 4GB sticks (3 sticks for each CPU, located in slots A1,2,3 and B1, 2, 3.I need to upgrade this to 32GB of RAM to match another servers configuration. My original plan was to remove the 4GB sticks in slots A1 and B1, and replace them with 8GB sticks. I did this, and the system boots, but it gives a message about invalid memory configuration. if I press F1, it still boots in to ESXi off the USB stick, and seems to work just fine. But I'd like to get rid of the error message on startup.Do I have the sticks in the wrong slots for this configuration? I read and re-read the hardware manual, but im a little confused. it states:""Memory modules of different sizes can be mixed within a memory channel (for example, 2-GB, 8-GB, and 4-GB), but all populated channels must have identical configurations""So based on that, it seems like this should work, but i'm unsure if I'm missing something. Any suggestions? ",doc_335
"Hello, My PowerEdge T20 gets BSOD after adding 4GB RAM. The original RAM is SKhynix HMT451U7AFR8A-PB (which is 1.35V) while added module is ADATA AD3U1333W4G9-B (1.5V - may it be a reason?). Can I solve this or these modules cannot work together?",doc_336
"Hello, TeamHave an old PE R720 with a license issue.The support of the server ended.How I can restore the license key for iDRAC? Thanks",doc_337
"Hello, all.I have a PowerEdge 1900 server (with II on the chassis) that originally had a Xeon 5050 3.00 GHz CPU. Does this server support a Xeon 5080 3.73 GHz CPU?  If so, it would support two of these, correct? Thanks!",doc_338
"Hello, am using server PowerEdge r720 with dual cpu running, I have upgraded from 16GB the RAM up to 92GB, but unfortunately its only 32 is usable, I have tried to change the slots but still the same usable 32GB, kindly I would like to get a help from your side. thanks and regards",doc_339
"Hello, having hard time to source the front fan, the 4 fans array as add-on cooling.Which part number is it? full assembly and/or individual fan.What about the T630 front fan assembly, is it compatible with the T620, it looks like it may fit, the T630 is still available on the web, no chance for the T620!Thanks for any help",doc_340
"Hello, it's me again with a question, We have a Dell PowerEdge R510 running as a NAS server. it's running Windows Server 2016.We noticed there is a red light blinking under the power button. I know there is something wrong with it, I just can't figure out what. All disks in it are giving me green lights. the Power modules also have green lights.How can I find out what is wrong with this server? Thanks in advance, Kind regards, Bjorn",doc_341
"Hello, newbe hereI have a Dell PowerEdge 2950 that I have to clear three areas of NV Ram, I downloaded the Statement of Volatility, and these are the sections:1. Server Firmware, Optional Embedded ROMB) MemoryChecking Dell's pages, I see a NVRAM_CLR Jumper, remove this jumper, boot and that should do it? 2. Server (Embedded) Storage Controller Cache Memory, Battery Backed volatile RAMChecking Dell's pages, To clear Storage Controller Cache Memory, Remove the Controller RAM Chip and Battery. Boot the server, CTRL-M for SCSI controllers (PERC 3, PERC 4) or CTRL-R for SAS/SATA controllers (PERC 5, PERC 6 and newer controllers) depending on the controller installed, wait five minutes while in the CTRL menu to allow contents of cache to purge, reboot back to controller BIOS. Dell also recommends re-flashing and BIOS / Firmware in the server. 3. Server Video Memory DDR SDRAMCannot find anything on thisThis is the actual wording from the web site SOV, can anyone confirm the steps to clear these 3 areas of NV RAM? Thank you, Bruce1. Server Firmware (Optional Embedded ROMB) MemoryDetailsSize:32KB NVRAM, 4MB FlashType: [e.g. Flash PROM, EEPROM]:NVRAM, FlashCan user programs or operating system write data to it during normal operation?NVRAM data can be changed duringnormal operationPurpose? [e.g. boot code]Controller Firmware & configuration dataHow is data input to this memory?Loading flash memory requires a vendorprovided firmware file and loaderprogram which is executed by booting upthe system from a floppy or OS basedexecutable containing thefirmware file and the loader. Systemloaded with arbitrary data in firmwarememory would not operate.How is this memory write protected?The flash chip is software write protectedRemarks   2. Server (Embedded) Storage Controller Cache Memory (if not present/applicable, N/A is shown under details)DetailsSize:256MBType: [e.g. Flash PROM, EEPROM]:Battery Backed volatile RAMCan user programs or operating system write data to it during normal operation?YesPurpose? [e.g. boot code]Data CachingHow is data input to this memory?Normal OperationHow is this memory write protected?NoRemarks   3. Server Video MemoryDetailsSize:16MBType: [e.g. Flash PROM, EEPROM]:DDR SDRAMCan user programs or operating system write data to it during normal operation?YesPurpose? [e.g. boot code]Graphics BufferHow is data input to this memory?Normal OperationHow is this memory write protected?NoRemarks     ",doc_342
"Hello, running into an issue with a PowerEdge r650. The unit previously had 2 CPUs, going down to one CPU with 96gb of ram. After repurposing via lifecycle, the unit continues to error out with searching for the 2nd cpu. No ram is installed on cpu 2 side. Is there a setting somewhere i need to enable/disable to bypass searching for the 2nd cpu? Thanks in advance",doc_343
"Hello, this my my first post-question.first of all sorry for my english.i have troubles with r710 perc6i raid 5. 1 of 3 sas hdd is failed (there is installed 7CV6H : Module,Hard Drive,300G,SAS6,15 K,3.5,Seagate - info is from dell support page by tag number). And then i have bought this one:Dell 300GB 15K 6Gb/s SAS 3.5-inch HD Single Port (SP) Hot-Plug Dell Hard Drive in Dell F238F 3.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareDell Certified Hard DrivePart Number(s)Dell Part# 7CV6HSeagate Part# ST3300657SS Specifications: CategoryDell HardDriveSub-Category15KGenerationSASPart Number7CV6HProducts ID200205Capacity300GBInterfaceSerial Attached SCSI (SAS)EnclosureInternalDrive Dimensions3.5 inches x 1/3H (Low Profile)Spindle Speed15000RPMExternal Data Transfer Rate6GSeek Time4.5msHotSwapYesManufacturerDellPre-Failure WarrantyYesHot Swap TrayIncluded/Attached7CV6H Compatible Dell Servers and Storage Arrays:  Dell PowerEdge T-Series T100 T105 T110 (Gen I,II) T300 T310 T320 T410 T420 T430 T605 T610 T620 T630 T710 Servers.  Dell PowerEdge R-Series R210 (Gen I, II) R220 R300 R310 R320 R410 R415 R420 R430 R510 R520 R530  Dell PowerEdge R-Series R710 R715 R720 R720XD R730 R730XD R900 R905  Dell PowerEdge C-Series C1100 C2100 C6100 C6220 Servers.  Dell PowerEdge M-Series M510 M520 Servers.  Dell PowerVault M-Series M1000e MD1120 MD3200 MD3200i MD3220 MD3220i MD3400 MD3420 MD3460 MD3060e Arrays.Now i have installed the new hdd and saw that orange error on dell screen is disappeared and it became blue without error, but 2 hdd lights is on and not blinking. Then i have checked the dell openmanage server administration tool 8.2.0 and there is still trouble with storage. But there is another information about perc 6i firmware. Is it problem for displaying correct information about storage troubles? or problem with new hdd?another step i was checked that i have installed in 6th free slot second new sas hdd and it is not appeared  in openmange software, but it have spinning noise and 2 unblinking lights on. I want to check is my system is in good condition and rebuilding process is finished.so can you help me?",doc_344
"Hello, we are installing new NIC's on our PowerEdge C6145 servers and when we attempt to PXE boot the servers we receive the following error:PXE-EC8: !PXE structure was not found in UNDI driver code segment. The cards we are attempting to use are Intel Ethernet Converged Network Adapter X540-T1 (https://www.newegg.com/intel-x540-t1/p/N82E16833106144) Any ideas on what could be causing this? Thank you",doc_345
"Hello, we bought Dell PowerEdge T20 for our organization without HDDs. We bought two hard drives Western Digital Black 2 TB 3,5"" (WD2003FZEX-00SRLA0) separately and installed them.After that I created mirror raid via software RAID tool (CTRL+I on boot), installed Windows 10 Pro and everything seems to be OK. But after installation of the OS I dettached one of the drives, start the OS and shut down. Then I attached the 2nd HDD and the system started rebuild. In 1-2 hours I noticed that the HDD lamp stop blinking (the rebuild was finish) restart the PC and noticed missing 2nd HDD. The same scenario happens 2-3 times later. Only when I shut down system and power on again the BIOS recognize the second HDD.I'm wondering what occurs this? Bad SATA cable or incompatible disk drive?",doc_346
"Hello, we don't know why the state appears as unknow for hardware/storage. We have two Dell PowerEdge T440 with PERC H730P; and we used to install the VMware-VMvisor-Installer-6.7.0.update01-10764712.x86_64-DellEMC_Customized-A04  ",doc_347
"Hello, we have a Dell PowerEdge T605  AMD Quad Core Opteron 2376 with a dedicated SAS Controller.It is supposed that this controler admits up to 4 2TB hard disks, but the controller only recognizes 2 of the 4.I show you some of the configuration screens.What can I do?Thanks in advance,Joaquin",doc_348
"Hello,At the moment I am provisioning Dell PowerEdge C6420 using JSON file to configure BIOS and NIC from the iDRAC web interface in the Configuration/Server Configuration Profile/Import section. I have to setup the IDRAC/BMC network information before hands to be able to access the web interface.My goal is to provision the server from the box with a USB drive containing BIOS JSON config and NIC JSON config (without any iDRAC/BMC network configuration at first). I cannot use Redfish API as the BMC is not (yet) available on the network.Is it possible to import at boot from a USB drive the BIOS config and NIC config ?Thank you",doc_349
"Hello,Can anyone confirm whether it should be ok to replace the motherboard on a PowerEdge R520 from our current 4FHWX board to a 51XDX? I know sometimes there can be key changes between revisions. I have a borked iDRAC 7 that I can't flash, have tried all the usual suggestions such as SD Card in back of iDRAC, RACADM etc.ThanksLee",doc_350
"Hello,Can someone pls advise what the racadm command would be to get a list of physical disks that are in the READY state as opposed to the online state?Thx very much,John Bradshaw",doc_351
"Hello,Can you please provide me with an out-of-warranty quotation for a ""Battery on Controller PERC 5/i Integrated"" for a PowerEdge 2950 server (chassis S/T 2VBG43J).Thank you very much,Andrea",doc_352
"Hello,Client brought me Dell  T320  server  that does not boot anymore. He said that he tired to upgrade iDrac firmware, but after restart server failed to boot. Server initializes memory and starts initializing iDrac, stays  there for few minutes, give massage Initializing iDRAC failed and restarts again and again. never  boots. I tried  removing all PCIe and USB components, no luck.  Please let me know how to i can fix this problem   ",doc_353
"Hello,Dell server power off in PowerEdge R440 and server is don't remote access. PowerEdge R440 server must normal by power off/on. Please help us.   Thank you.Buyandelger",doc_354
"Hello,Does anyone know how to tell what different motherboards can come with Dell T620?My T620 came withDP/N - 07HNGV but also different service tagDell board I got… DP/N – 02CD1V Thank youBill",doc_355
"Hello,For a DELL PowerEdge R710.Is it possible to transform a 4 x 3""5 drives and a flex bay into a 6x3""5 drives ?Can i replace the 4x3""5 backplane with a 6x3""5 backplane and install 6 disks ?Or can i install 3""5 drives into the flex bay ?Thanks",doc_356
"Hello,Good Day.I have Dell FX2S chassis/device which has two disk storages and 4 servers, I am trying to enable storage spaces direct using Windows Server 2016/virtual machines. I have installed OS 2016 on the internal drives in one of the FX device(server), however I was not able to see the storage disks from the operating system (I am able to see the 0 to 7 disk drivers from the RAID (when I go to CTRL R in the boot up)What should I do to enable seen the drives from the OS?Appreciate much if you could help me to overcome this issue .Thanks and regardsDnet",doc_357
"Hello,Having trouble executing virtual machines on Hyper-V of Windows 2012 R2 Standard at PE R520. It just doesn’t start VMs, complaining that “hypervisor not running” (event 20148, Hyper-V-VMMS) and “Virtualization infrastructure driver (VID) not working” (event 15350, Hyper-V-VMMS). Turning “virtualization technology” and “execute disable” CPU features in BIOS on and off and on again (reboots in between) gave nothing. The BIOS interface doesn’t provide a way to adjust the “virtualization technology” any deeper, f.ex., enable or disable only VT-d or smth. as a part of VT. Some people out there have succeeded with it adjusting some particular CPU features in BIOS, but with PE R520 I can see to only turn VT feature ON or OFF as a whole, via OMSA or the console.Executing “bcdedit /set hypervisorlaunchtype auto” with administrative privileges gave the same nothing.As experienced, Hyper-V on Windows 2008 R2, previously hosted on the platform, had none of such a weird complication.Among CPU attributes, everything is enabled but the “Demand Based Switching(DBS)” and “Turbo Mode” ones.Can I do anything aside of returning to W2008R2 to solve this issue and to make the Hyper-V on W2012R2 to work properly on R520?Or may it be the issue doesn’t have any roots in the R520 platform specifics?Some details:BIOS version: 2.7.0CPU: Intel(R) Xeon(R) CPU E5-2440 0 @ 2.40GHz (1 piece)64 GB of DDR3 RAMThanks a lot for your attention in advance!",doc_358
"Hello,How to install the BACS on a R7525 with windows 2019? I have enabled the control suite but nothing seems intalled. Thanks. ",doc_359
"Hello,I am Facing an issue with DELL R720 Server while booting the OS.The Server is having 2 no's 300GB Harddisk Configured as RAID-1 for Windows OS.(C: Drive)-MBRand 4 No's of 1TB Harddisk Configured as RAID-5 for For Data.(D: Drive)-GPTBoth the Hardisks in the C Drive got Crashed, so i have replaced it with new Hardisk and Restored the Acronis Image.I have Restored the Image only to C Drive, but after the restoring the Image the windows is not starting.it is giving the Message ""No boot Device Available.Current Boot mode is Set to BIOS.Please Ensure Compatible bootable media is available.Use the System setup program to cahnge the boot mode as needed.""But if i  plug Out the 4 no's of 1TB hardisk configured as RAID-5 , the windows is booting Normally without any Issue.Once OS is loaded and logged in i put back the 4 nos of  1TB harddisk, after that i imported the foregin Confgiuration using DELL Open Manage , the D Drive appeared and able to get the data.But the moment i restart the server, same issue is happening, it is not able to load the OS.Why the Wndows is not able to load while D Drives are present ?",doc_360
"Hello,I am hoping to find a little more recent info on the supported RAM configurations for an r815.The latest info I could find is this 2010 dated doc here:www.dell.com/.../Poweredge-R815-Technical-Guidebook2010.pdfAccording to this document, there are no supported RAM configurations employing Dual Rank 16GB DIMMs.  Specifically note the 256 and 512GB configurations which all call for either dual rank 8GB DIMMs, or 16GB quad rank DIMMs.What I would like to know is this:Is that a hardware limitation that persists today, or was that sheet a function of the type and size of DIMMs available at the time of publication?  Going to QR DIMMs means dropping RAM speed to 1066MHz, so there is a penalty to be paid for using QR DIMMs in any config.  Can anyone tell me with certainty whether this limitation still exists?Thank you for your time!",doc_361
"Hello,I am interested in adding a second processor for my T440 server. The part number for the processor factory-installed was: 338-BVKD. I can see on the Dell page for the accesories for my service tag a processor with part number: 338-BVKE with the same specs for the processor, but it is not clear if it includes or not the heatsink, as I can't find any heatsink on the accessories for the server. This is the first time I'm going to do this on a server, so I'm not sure. I have looked on the Dell site for the part numbers listed for the heatsink on my Server detail's pages but I can't find it on the Dell's accesory page.Thanks in advance ",doc_362
"Hello,I am looking to upgrade the Intel Xeon E5-2407 (V1) cpu in a Dell T420.Are the V2 and V3 versions of the E5-2400 series compatible?Or do I have to stick to V1?Thanks!",doc_363
"Hello,I am seeking clarification on iDRAC and OS pass-through, with respect to the settings in using LOM, USB etc - in all of these option does the iDRAC need to be physically plugged in to the network to use it? ie: can the passthrough take the signals from the iDRAC and bring them into the OS world without the need of a physical interface? Thanks in advance. ",doc_364
"Hello,I am still choosing the OS I want to go with and thought about Linux Mint. Would Linux Mint work on this Server? Also, What OS would you Recommend? Thanks.",doc_365
"Hello,I am trying to add 16GB (2x8) of memory to a PowerEdge R710; however, I cannot get the system to work with the modules I have. The machine is currently configured with 8GB DIMMs in A1 and B1 (w/ two CPUs) and if I understand the guides correctly, I should be able to add the two new 8GB sticks in A2/B2.If I try that configuration, I get a MEMBIST error that indicates A2/B2 have been disabled. I have also tried putting both of the old modules in A1 and A2 with the new modules in B1 and B2, in this case the server will not POST. I have also tried removing the old modules completely and putting the new modules in A1/B1 - this also results in no POST. I have tried other configurations as well, such as moving the new modules to A3/B3 in which case the BIOS tells me the configuration is not optimal, suggesting I move the DIMMs to A2/B2 but also gives the MEMBIST error and disables them. In any case, I do not see any MEMTEST failure messages like I've seen in some other posts on the subject.I have updated the firmware to BIOS 6.4.0 along with all the latest iDRAC / USC / etc. firmware but that did not seem to change anything.The new modules I am attempting to install are Hynix HMT31GR7BFR4C-G7. The CPUs are Xeon 5520s. Unless I'm missing something with the configuration, I suppose my question is; are these parts not compatible with the R710 or do I have faulty DIMMs?Thanks for any help!",doc_366
"Hello,I am trying to configure SSL for iDRAC6 and the command to upload the SSL key to the DRAC is not available.  I have updated the firmware walking it all the way from 3.33 to 3.85 for the iDRAC.  I am a configured admin, I am using a remote RACADM console, and I have reset the RAC numerous times.  I have tried it remotely, and locally but the command is not available.  Lastly, I configured the SSL key upload for all of my other servers using iDRAC 7 and 8 without an issue.  Please help.Thanks,Scott",doc_367
"Hello,I am trying to down rev an R640 BIOS from 1.6.12 to 1.3.7. The BIOS was initially 1.6.11 and I was able to update to 1.6.12 but I can not down rev to 1.3.7 from 1.6.11 or 1.6.12. The issue is only seen on one R640 as I can down rev other R640s.The down rev BIOS is staged fine but does not update correctly after a reboot.I have tried a power drain and racadm systemerase commands to no success.This is what the LC Log says for the failed BIOS update.2019-01-04 17:44:02SUP0517Unable to update the System BIOS (BIOS.Setup.1-1) firmware to version 1.3.7.  Log Sequence Number:93Detailed Description:The firmware image specified in the operation did not apply successfully. An internal error may have occurred.Recommended Action:Retry the operation. If the problem persists, download the latest update package from your service provider, and retry the operation.",doc_368
"Hello,I am trying to install an LTO4 SAS Tape Drive into a Dell PowerEdge T320 tower server.  I have the Tape Drive and the H310 SAS Controller/HBA for connecting to the drive but I can't find the correct cable to go from the Drive to the H310.#I was going to use P/N:  606JD which is listed at the TBU Cable for T610/T710 but not sure if that is the correct cable for this unit.Any assistance would be massively appreciated.Thank you",doc_369
"Hello,I am trying to reset an iDRAC 6 user password that was configured by a previous sysadmin and forgotten.I have been trying to change it via System Settings. It appears to take the new password, but when I reboot and attempt to log in it doesn't work.Any idea as to this cause of this issue? Thanks.",doc_370
"Hello,I am trying to setup email alerts on a PowerEdge R430 with iDRAC8. We use Office 365 for our email. I tried many different combinations of settings but I always end up with the error ""RAC0225: Sending the test mail failed."" when I try to send a test email.I used the SMTP settings provided in this page: support.office.com/.../POP-and-IMAP-settings-for-Outlook-Office-365-for-business-7fc677eb-2491-4cbc-...DNS and other network settings and all set correctly in iDRAC. I also tried setting the DNS Domain Name field with Office 365 domain name as recommended is some Reddit page but the problem still persists. I also tried using the SMTP server IP address instead of the domain name and tried using port 25 as well.Your help is much appreciated.",doc_371
"Hello,I bought a refurbished R730xd without the rear 2.5"" drives, and am now investigating how to add them. The system does not appear to have come with the necessary mounting hardware to actually put drives in the two rear mounting locations, so it appears I have to find mounting brackets and any associated cabling that may be necessary. Googling around, I have not yet been able to identify what the part numbers might be. Can anyone point me in the right direction? What are the necessary parts to make the rear drives work? And also, where do they connect or plug into?Thanks in advance for any help",doc_372
"Hello,I got a T330, all firmware was 5 years old, upgraded everything to latest in steps...Upgraded BIOS manually downloading from dell.com/support then file upload through idrac8BIOS 2.13.0but now when running updates from Idrac8 or lifecycle controller it reports the latest bios is BIOS 2.12.0 ?alsoDell HBA330 is 16.17.01.00.   idrac or lifecycle suggest to downgrade to13.17.03.05 SAS-Non-RAID_Firmware_847VG_WN64_13.17.03.05_A03_03.EXE Recommended AvailableComponents Current AvailableDell HBA330 Adp 16.17.01.00 13.17.03.05BIOS_J0HV6_WN64_2.12.0.EXE Urgent AvailableComponents Current AvailableBIOS 2.13.0 2.12.0Diagnostics_Application_NNPW9_WN64_4239A36_4239.44.EXE Optional AvailableDrivers-for-OS-Deployment_Application_WP3PH_WN64_18.12.04_A00_01.EXE Optional Available Thanks,Andras ",doc_373
"Hello,I have R820 (4 CPU's) with 32 32GB LR sticks (total 1024 GB). I am planning upgrade the server with 16 more 64GB sticks to achieve total server memory to 2048 GB.is it possible to achieve this configuration? if possible, can you please suggest where should I populate the new 64 GB sticks.Thanks in advance.RegardsVenkat ",doc_374
"Hello,I have a 0N24MJ 495W PSU.  I am trying to confirm if this will be compatible with the PowerEdge T320.If not, what is the recommended PSU for this machine.  It currently has a 495W PSU installed but I cannot tell which one via OME.",doc_375
"Hello,I have a DELL T310 with idrac6,one raid array with XenServer and one single sata disk with windows 10 directly connected to the sata motherboard port.I want to select the first boot device from the perc control pannel to start xen or windows 10, but I can't figure out how to do, I have tried all boot options from the perc web control pannel.I need to somethings in the bios to perform this action?Thanks.",doc_376
"Hello,I have a Dell Power Edge 720xd where I'm seeing the following when I click on Power Supplies. The light on the Power Supply is still lit, but is there a chance that this could be anything else other than a bad power supply? The problem started happening after we changed to a different UPS. ",doc_377
"Hello,I have a Dell PowerEdge 2600 (running Windows 2003), whom the battery of RAID controller PERC 4/Di has to be replaced.It's the first time that I've to do this operation and I've some questions.Can I lost the RAID configuration by changing this battery?Should I do this change quickly as possible to avoid losing this configuration?Do I have to turn off the server before to change the battery (with unplugged power)?Or can I do it while the system runs?Thank you,Chris",doc_378
"Hello,I have a Dell ProEdge R900 with 128GB RAM and 4xIntel(R) xenon(R) CPU X7350.I am not able to use it for Workstation Pro14. And it also will not recognize Vt-x & Vt-d on the VM when using Windows Pro12. I have the options enables in the BIOS.Do you think by updating the BIOS may solve the problem?Any help is much appreciated.Thanks,",doc_379
"Hello,I have a PEdge R710 and RAID 1 config, when i enter CTRL+R i have 5disks in foreign. When I start the OS i cant see any disk, just the first one that has de OS. What should i do to get the other disk online and then i can see them on the OS. I prefer not to lose data.Thank you",doc_380
"Hello,I have a Poweredge R510 and the controller Perc H700 is out of date. Firmware Version12.10.6-0001Minimum Required Firmware Version12.10.7-0001Driver Version6.600.21.08Storport Driver Version6.3.9600.18549Where do I download the latest version? I found different ones but I'm not sure which one is the correct download?",doc_381
"Hello,I have a R410 and am interested in improving the HDD configuration.What is the 'best' RAID card I can install in the R410 (4xLFF)? From reading it seems to be an H700 which i understand only supports 6Gb/s, I am hoping to achieve 12Gb/s maybe using an H730.Is it possible to install an H730 in an R410?Thanks in advance. ",doc_382
"Hello,I have a R630 with iDRAC 8 Enterprise here.Unfortunaltey I misscounted the network devices and forgot to include iDRAC.Is it possible to use only one network cable to connect the R630 and have both OS and iDRAC working through it?iDRAC also has work when the server is off.",doc_383
"Hello,I have a R710 with PERC H700 which suffered a power module failure and shutdown unexpectedly. I replaced the power module and when I boot up, I see a E1211 battery failure for the RAID controller and it is not detecting the virtual disk created as RAID1 using drives from Bay 0 and 1. Did I just loose all config info for the virtual disk? Can they be recovered?Thanks,Sarin",doc_384
"Hello,I have a R730 server with 2x Intel Xeon E5-2630 v4 2.2GHz CPU's and 128Gb memory configured as 4x 32GB RDIMM's 2400MT/s in slots A1, A2, B1 and B2.I need to add an additional 64 Gb memory to the server. Will 2x additional 32 Gb memory modules per the link below in slots A3 and B3 work.https://www.dell.com/en-uk/work/shop/dell-memory-upgrade-32gb-2rx4-ddr4-rdimm-2400mhz/apd/a8711888/m...Many ThanksRick",doc_385
"Hello,I have a R730 server, single processor, that I would like to install 96GB of memory into. It came with 32GB of memory (2x16 in A1 and A2) and I would like to add a single 64GB module.Is this possible, and what slots should they be installed in?Thanks",doc_386
"Hello,I have a R730 with 2x E5 2670 v3 and 2x 16 GB - 2RX4  RDIMM  2133 MHz. I am thinking to upgrade the memory with 2x 32GB - 2Rx4 RDIMM 2666MHz. In R730 owner's manual, it is said that frequency can be 1866, 2133 or 2400. So can this 2666MHz memory module work at 2133MHz with 16Gb-2133 MHz memory modules without any problem? For the populations of the module, I think It should be 32GB to A1-B1 and 16Gb to A2-B2 slots, If it is wrong please correct me. I am adding the memory modules link below. Thanks for your help.https://www.dell.com/en-us/work/shop/dell-16gb-certified-memory-module-2rx4-ddr4-rdimm-2133mhz/apd/a...https://www.dell.com/en-us/work/shop/dell-memory-upgrade-32gb-2rx4-ddr4-rdimm-2666mhz/apd/a9781929/m...",doc_387
"Hello,I have a RAID10 virtual disk with 8 physical disks of 4TB.One of the physical disks is in failed state and I want to replace it.Can I replace it with a 8TB disk?If this is possible, do I need to rebuild, reconfigure or replace member?Thanks in advance.Best regards.",doc_388
"Hello,I have a brand new DELL R730.  Since the time i first booted the box, the fans start out at what I would consider a normal speed, halfway through boot, and then for as long as the box is on, the fans are loud and spinning at their max rate 100% or around 16000RPM.  There are 6 fans in this box.I have update the BIOS to the latest firmware 2.2.25, i have also updated the LifeCycleController firmware to the latest 2.40.40.40.  Dell technician's have been onsite twice to replace 1) the entire systemboard (mother board), and 2) one of the PCI riser cards (which had the intrusion button).The server's fans still spin 100%.I have done:- the flea power drain- the IPMI command to disable cooling for PCIe-remove all memory but 1 chip in A1 and removed the 8 SSD drives.Still spinning at 100%.When looking at the Fan's setup in iDRAC, i cannot even set a custom value as the range is stuck at 100-100%.There are no additional PCI or PCIe cards installed.Does anyone have a clue what is going on here.  It just doesnt seem normal that the fan's are spinning 100% all the time.",doc_389
"Hello,I have a case where I needed to add TPMs to two R930s that didn't have them installed previously.  However, there doesn't seem to be much documentation on where the connector for them are on the main board.  Has anyone had experience with installing TPMs on these servers before?  I've done so on other 13G servers but the connector is pretty well hidden on the R930. Thank you",doc_390
"Hello,I have a dual-processor PowerEdge R520, and I want to upgrade the memory, while retaining as many of my existing DIMMs as I can (all, preferably!). It currently has 32GB in 8x 4GB ECC DDR3 RDIMMs,1333MHz low volt single rank (Dell-331-4422). I'm looking at adding 2x 16GB ECC DDR3 RDIMMs, 1333 MHz  low-volt dual rank, PC3-10600. The R520 has three memory channels per processor, supporting up to 12 DIMMs I'm looking at the document ps2q09-20080414-Benson.pdf regarding Dell R520 memory configuration, but it's not clear to me how I should plan to configure the memory modules I have, or whether this upgrade is a good choice. Can I mix 16GB and 4GB DIMMs in the same channel? Which channel should use the larger DIMMs? Should I plan to purchase all new DIMMs if I want to increase the memory to 64GB? Can you advise? Thanks!",doc_391
"Hello,I have a motherboard with 24GB RAM, 2X XEON, 2X PSU, 2x fans, and front panel.When I push the power button the id led starts blinking orange.What can I do to start the system?Thank.",doc_392
"Hello,I have a qestion about the supported CPUś for the Dell power edge R610.In the documentation of dell I didn't found it in the CPU list but it says also that is supports E55 and E56 series.Does The dell power edge R610 support the Xeon E5645?Best,Reinier de la Parra",doc_393
"Hello,I have a question. I have an Asus XG-C100C 10G NIC installed inside my Dell R710. When I run any OS. I am able to see the card and it works great. But my issue is when the server is rebooted I am getting an error no supported device.Avago MPT boot ROM, no supported device found!Plug and Play Configuration Error:Option ROM Checksum ErrorSlot 2 – Bus#04/Dev#00/Fun#0: Slot2To continue I have to press F1 and all is well once the OS loads. But is there a way to fix this so I don’t have to always press F1 to get the system to boot on a restart.Thank you,",doc_394
